credibility_label,fee_bps,lane,min_net_edge,min_relationship_confidence,net_pnl_usdc,slippage_bps,trades_executed
data_insufficient,0,reviewed_context_valid,0.01,0.35,1375.2645799729123,50,2
data_insufficient,0,reviewed_context_valid,0.01,0.65,0.0,50,0
data_insufficient,0,reviewed_context_valid,0.01,0.8,0.0,50,0
data_insufficient,0,reviewed_context_valid,0.02,0.35,1375.2645799729123,50,2
data_insufficient,0,reviewed_context_valid,0.02,0.65,0.0,50,0
data_insufficient,0,reviewed_context_valid,0.02,0.8,0.0,50,0
data_insufficient,50,reviewed_context_valid,0.01,0.35,1370.2645799729123,50,2
data_insufficient,50,reviewed_context_valid,0.01,0.65,0.0,50,0
data_insufficient,50,reviewed_context_valid,0.01,0.8,0.0,50,0
data_insufficient,50,reviewed_context_valid,0.02,0.35,1370.2645799729123,50,2
data_insufficient,50,reviewed_context_valid,0.02,0.65,0.0,50,0
data_insufficient,50,reviewed_context_valid,0.02,0.8,0.0,50,0
data_insufficient,0,reviewed_context_valid,0.01,0.35,1363.505844428492,100,2
data_insufficient,0,reviewed_context_valid,0.01,0.65,0.0,100,0
data_insufficient,0,reviewed_context_valid,0.01,0.8,0.0,100,0
data_insufficient,0,reviewed_context_valid,0.02,0.35,1363.505844428492,100,2
data_insufficient,0,reviewed_context_valid,0.02,0.65,0.0,100,0
data_insufficient,0,reviewed_context_valid,0.02,0.8,0.0,100,0
data_insufficient,50,reviewed_context_valid,0.01,0.35,1358.505844428492,100,2
data_insufficient,50,reviewed_context_valid,0.01,0.65,0.0,100,0
data_insufficient,50,reviewed_context_valid,0.01,0.8,0.0,100,0
data_insufficient,50,reviewed_context_valid,0.02,0.35,0.0,100,0
data_insufficient,50,reviewed_context_valid,0.02,0.65,0.0,100,0
data_insufficient,50,reviewed_context_valid,0.02,0.8,0.0,100,0
